network,autonomous_system_number,autonomous_system_organization
52.84.132.0/23,16509,amazon-02
52.68.0.0/15,16509,amazon-02
52.64.0.0/14,16509,amazon-02
52.62.0.0/15,16509,amazon-02
52.60.0.0/16,16509,amazon-02
52.56.0.0/14,16509,amazon-02
52.52.0.0/15,16509,amazon-02
52.48.0.0/14,16509,amazon-02
52.74.0.0/15,16509,amazon-02
52.47.0.0/16,16509,amazon-02
52.46.240.0/22,16509,amazon-02
52.46.192.0/19,16509,amazon-02
52.46.184.0/22,16509,amazon-02
52.46.180.0/22,16509,amazon-02
52.46.172.0/22,16509,amazon-02
52.46.128.0/19,16509,amazon-02
52.46.88.0/22,16509,amazon-02
52.46.249.0/24,16509,amazon-02
52.76.0.0/14,16509,amazon-02
52.84.2.0/23,16509,amazon-02
52.84.4.0/22,16509,amazon-02
52.84.128.0/22,16509,amazon-02
52.84.96.0/19,16509,amazon-02
52.84.88.0/21,16509,amazon-02
52.84.86.0/23,16509,amazon-02
52.84.84.0/24,16509,amazon-02
52.84.80.0/22,16509,amazon-02
52.84.76.0/22,16509,amazon-02
